year,urim,status_code,date,time,mimetype,redirects_to,redirect_type
2019,https://arquivo.pt/wayback/20191130094014/https://www.instagram.com/cristiano/,200,11/30/2019,9:40:14,,,
2019,https://arquivo.pt/wayback/20191130115351/https://www.instagram.com/cristiano,301,11/30/2019,11:53:51,,https://arquivo.pt/wayback/20191130094014/https://www.instagram.com/cristiano/,2xx
2020,https://arquivo.pt/wayback/20200205062302/https://www.instagram.com/cristiano/,302,2/5/2020,6:23:02,,,login
2020,https://arquivo.pt/wayback/20200207200528/https://www.instagram.com/cristiano,301,2/7/2020,20:05:28,,,login
2020,https://arquivo.pt/wayback/20200223041359/https://instagram.com/cristiano,301,2/23/2020,4:13:59,,,login
2020,https://arquivo.pt/wayback/20200408020307/https://www.instagram.com/cristiano/,302,4/8/2020,2:03:07,,,login
2020,https://arquivo.pt/wayback/20200506025401/https://www.instagram.com/cristiano/,302,5/6/2020,2:54:01,,,login
2020,https://arquivo.pt/wayback/20200506194626/https://www.instagram.com/cristiano/,302,5/6/2020,19:46:26,,,login
2020,https://arquivo.pt/wayback/20200507194005/https://www.instagram.com/cristiano/,302,5/7/2020,19:40:05,,,login
2020,https://arquivo.pt/wayback/20200510020836/https://www.instagram.com/cristiano/,302,5/10/2020,2:08:36,,,login
2020,https://arquivo.pt/wayback/20200511022138/https://www.instagram.com/cristiano/,302,5/11/2020,2:21:38,,,login
2020,https://arquivo.pt/wayback/20200521194124/https://www.instagram.com/cristiano/,302,5/21/2020,19:41:24,,,login
2020,https://arquivo.pt/wayback/20200601164914/https://www.instagram.com/cristiano/,302,6/1/2020,16:49:14,,,login
2020,https://arquivo.pt/wayback/20200605191329/https://www.instagram.com/cristiano/,302,6/5/2020,19:13:29,,,login
2020,https://arquivo.pt/wayback/20201123205045/https://www.instagram.com/cristiano/,302,11/23/2020,20:50:45,,,login
2020,https://arquivo.pt/wayback/20201124222655/https://www.instagram.com/cristiano/,302,11/24/2020,22:26:55,,,login
2020,https://arquivo.pt/wayback/20201205013448/https://www.instagram.com/cristiano/,302,12/5/2020,1:34:48,,,login
2020,https://arquivo.pt/wayback/20201218074357/https://www.instagram.com/cristiano/,302,12/18/2020,7:43:57,,,login
2020,https://arquivo.pt/wayback/20201218220912/https://www.instagram.com/cristiano/,302,12/18/2020,22:09:12,,,login
2020,https://arquivo.pt/wayback/20201219221101/https://www.instagram.com/cristiano/,302,12/19/2020,22:11:01,,,login
2020,https://arquivo.pt/wayback/20201220221057/https://www.instagram.com/cristiano/,302,12/20/2020,22:10:57,,,login
2020,https://arquivo.pt/wayback/20201221220843/https://www.instagram.com/cristiano/,302,12/21/2020,22:08:43,,,login
2020,https://arquivo.pt/wayback/20201222222328/https://www.instagram.com/cristiano/,302,12/22/2020,22:23:28,,,login
2020,https://arquivo.pt/wayback/20201223223252/https://www.instagram.com/cristiano/,302,12/23/2020,22:32:52,,,login
2020,https://arquivo.pt/wayback/20201224201200/http://instagram.com/cristiano,301,12/24/2020,20:12:00,text/plain,,login
2020,https://arquivo.pt/wayback/20201224201204/https://instagram.com/cristiano,301,12/24/2020,20:12:04,,,login
2020,https://arquivo.pt/wayback/20201224201208/https://instagram.com/cristiano/,302,12/24/2020,20:12:08,,,login
2020,https://arquivo.pt/wayback/20201225223207/https://www.instagram.com/cristiano/,302,12/25/2020,22:32:07,,,login
2020,https://arquivo.pt/wayback/20201226223346/https://www.instagram.com/cristiano/,302,12/26/2020,22:33:46,,,login
2020,https://arquivo.pt/wayback/20201227221642/https://www.instagram.com/cristiano/,302,12/27/2020,22:16:42,,,login
2020,https://arquivo.pt/wayback/20201228225942/https://www.instagram.com/cristiano/,302,12/28/2020,22:59:42,,,login
2020,https://arquivo.pt/wayback/20201229223436/https://www.instagram.com/cristiano/,302,12/29/2020,22:34:36,,,login
2020,https://arquivo.pt/wayback/20201230222531/https://www.instagram.com/cristiano/,302,12/30/2020,22:25:31,,,login
2020,https://arquivo.pt/wayback/20201231223927/https://www.instagram.com/cristiano/,302,12/31/2020,22:39:27,,,login
2021,https://arquivo.pt/wayback/20210101223704/https://www.instagram.com/cristiano/,302,1/1/2021,22:37:04,,,login
2021,https://arquivo.pt/wayback/20210112080201/https://www.instagram.com/cristiano,301,1/12/2021,8:02:01,,,login
2021,https://arquivo.pt/wayback/20210112080212/https://www.instagram.com/cristiano/,302,1/12/2021,8:02:12,,,login
2021,https://arquivo.pt/wayback/20210118035813/http://instagram.com/cristiano,301,1/18/2021,3:58:13,text/plain,,login
2021,https://arquivo.pt/wayback/20210301210537/https://www.instagram.com/cristiano/,302,3/1/2021,21:05:37,,,login
2021,https://arquivo.pt/wayback/20210303031006/https://www.instagram.com/cristiano/,302,3/3/2021,3:10:06,,,login
2021,https://arquivo.pt/wayback/20210303201050/https://www.instagram.com/cristiano/,302,3/3/2021,20:10:50,,,login
2021,https://arquivo.pt/wayback/20210901023921/https://instagram.com/cristiano/,302,9/1/2021,2:39:21,,,login
2021,https://arquivo.pt/wayback/20210905214741/https://www.instagram.com/cristiano/,302,9/5/2021,21:47:41,,,login
2021,https://arquivo.pt/wayback/20210912181337/http://www.instagram.com/cristiano,301,9/12/2021,18:13:37,text/plain,,login
